Question,answer choice A,answer choice B,answer choice C,answer choice D,Correct Answer,
"What is the 2025 standard deduction for a 50 year-old married couple filing jointly, neither of whom is blind?","$9,600 ","$15,000 ","$30,000 ","$22,500 ","$30,000 ",
"Eileen and Hal received $10,000 of Series I bond interest in 2025. If all proceeds were used for qualified education expenses and their MAGI exceeded the applicable amount by $30,000, how much bond interest is excludable?",$0 ,"$2,500 ","$7,500 ","$10,000 ",$0 ,
"Julian is age 60 and paid $1,950 in premiums for qualified long-term care insurance in 2025. How much can he include in medical expenses?",$0 ,"$1,095 ","$1,800 ","$1,950 ","$1,800 ",
"Lloyd is chronically ill and received $9,100 in LTC benefits in 2025 for a 30-day nursing home stay. Actual costs were $8,356, and the per diem limit was $420. What amount must he include in income?",$0 ,$500 ,"$8,356 ","$9,100 ",$0 ,
What is the standard deduction in 2025 for a single taxpayer under age 65 who is not blind?,"$6,700 ","$15,000 ","$30,000 ",The standard deduction is eliminated for 2025,"$15,000 ",
"Harry traveled 300 business miles by car in 2025 and incurred $30 in parking fees, $50 in tolls, and $90 in gas. Using the standard mileage rate, what is his deduction?",$240 ,$260 ,$290 ,$380 ,$290 ,
"Bill and Trudy, filing jointly, have an AMTI of $1,352,700. What is their reduced AMTI exemption if the threshold is $1,252,700, and the original exemption is $137,000?",$0 ,"$64,600 ","$112,000 ","$116,800 ","$112,000 ",
"What is the unified estate tax credit for a taxable estate of $13,990,000 in 2025?","$1,000,000 ","$5,541,800 ","$6,625,800 ","$13,990,000 ","$5,541,800 ",
"Pass-through business owners of ______ whose taxable income exceeds the threshold amount but is below $50,000/$100,000 are eligible for a reduced 199A QBI deduction.",Specified service trades or businesses (SSTBs),Any business,Not-for-profit businesses,Applicable large employers (ALEs),Specified service trades or businesses (SSTBs),
"Barbara, a single taxpayer with AGI of $26,000, contributed $4,000 to her IRA in 2025. With a $2,000 tax liability, what is her max retirement contribution savings credit?",$200 ,$800 ,"$1,000 ","$2,000 ",$200 ,
"Gail and Bob, married filing jointly with AGI of $34,000, deferred $2,000 each into their 401(k) plans. With a $500 tax liability, what is their savings credit?",$0 ,$500 ,"$1,000 ","$2,000 ",$500 ,
"Lois, a single taxpayer, contributed $1,200 to a traditional IRA in 2025. If she received a $240 saver's credit, how much of the contribution is deductible?",$0 ,$240 ,$960 ,"$1,200 ","$1,200 ",
"Jose and his spouse adopted a 7-year-old and a 22-year-old special needs sibling. If his employer provided $35,000 in assistance, what is the max amount they can exclude from income in 2025?",$0 ,"$17,280 ","$34,560 ","$35,000 ","$34,560 ",
What is the maximum foreign earned income allowed for taxpayers claiming the earned income credit (EIC) in 2025?,A taxpayer eligible for EIC cannot have any,"$11,925 ","$6,500 ","$7,150 ",A taxpayer eligible for EIC cannot have any,
What is the maximum child tax credit for a 4-year-old qualifying child in 2025?,"$1,000 ","$2,000 ","$3,000 ","$3,600 ","$2,000 ",
A qualifying child for the child tax credit in 2025 must be under age ___ by year-end.,6,17,18,21,17,
The premium for the second-lowest-cost health insurance plan that would cover the family at the silver level of coverage is referred to as ________.,the benchmark plan premium,the bronze plan premium,the qualified plan premium,the essential health plan premium,the benchmark plan premium,
"If a taxpayer's 2025 household income of $60,000 places the taxpayer at 300% of the federal poverty level, what is the expected contribution for a refundable tax credit?","$1,200 ","$3,000 ","$3,600 ","$4,800 ","$3,600 ",
What is the maximum percentage of the paid health insurance premium for which an eligible non-profit small employer could receive as a tax credit in 2025?,0%,25%,35%,50%,35%,
"What is the minimum monthly premium contribution a small employer must make to qualify for a health insurance premium credit if its family premium rate is $1,000?",,"$2,000 ","$4,000 ","$5,000 ","$10,000 ","$2,000 "
"Ross and Karl are partners. If their employees work varying hours annually, how many full-time equivalent employees (FTEs) does the business have for the ACA?",5,7,8,13,8,
A taxpayer at 400% of the poverty level would not be required to contribute more than ___% of income to a silver ACA plan.,4.30%,8.50%,9.50%,11.60%,8.50%,
What is the maximum contribution to a flexible spending arrangement for medical expenses in 2025?,"$3,300 ","$5,100 ","$10,200 ",No limit applies,"$3,300 ",
"Carol is eligible for a $2,000 health insurance premium credit in 2025. If her tax liability is only $500, how much credit will she receive?",$0 ,$500 ,"$1,500 ","$2,000 ","$2,000 ",
At what percentage of the poverty level does a taxpayer lose eligibility for the ACA premium credit in 2025?,150%,200%,400%,A taxpayer does not lose eligibility,A taxpayer does not lose eligibility,
"Joyce and Bob received an advance insurance premium tax credit in 2025. If their household income is 300% of the poverty line and they owe $3,500 excess credit, how much must they repay?",$0 ,"$1,000 ","$3,250 ","$3,500 ","$3,250 ",
"Jim Bob's Doggie Barn, Inc., paid $100,000 in employee health premiums in 2025. With wages averaging $65,000, what is the tax credit they are eligible for?",$0 ,"$33,000 ","$35,000 ","$50,000 ",$0 ,
"What is the maximum permitted contribution to an MSA in 2025 if the deductible is $5,700?","$3,350 ","$4,275 ","$5,700 ","$6,650 ","$4,275 ",
How frequently may an Archer MSA be rolled over?,Every 6 months,Every 12 months,Every 24 months,An Archer MSA cannot be rolled over,Every 12 months,
"What is the maximum HSA contribution in 2025 for a self-only plan with a $5,000 deductible?","$3,300 ","$4,300 ","$4,650 ","$8,550 ","$4,300 ",
"What tax penalty applies for a $10,000 Archer MSA withdrawal at age 55 with no exceptions?",$500 ,"$1,000 ","$2,000 ","$5,000 ","$2,000 ",
What is the additional HSA contribution for a 60-year-old participant in 2025?,$0 ,$500 ,"$1,000 ","$2,500 ","$1,000 ",
"Justin, age 66, spent $6,000 on medical expenses but withdrew $8,000 from his MSA. What tax penalty applies?",$0 ,$400 ,"$1,000 ","$1,600 ",$0 ,
"Linda, age 58, contributed $3,500 to a traditional IRA in 2025. What is the max Roth IRA contribution she can make in 2025?","$8,000 ","$7,000 ","$4,500 ","$3,000 ","$4,500 ",
"Gary, age 55, married, AGI $150,000, and active in a 401(k). What is his max deductible IRA contribution in 2025?","$7,000 ",$0 ,"$6,000 ","$1,000 ",$0 ,
What is the longest vesting period for employer contributions for hiring military spouses?,All contributions must vest immediately,6 months,2 years,6 years,All contributions must vest immediately,
At what age must traditional IRA owners begin RMDs before 2033 under SECURE Act 2.0?,65,70,72,73,73,
How long can a taxpayer wait to repay an emergency distribution from a retirement plan?,No time period applies,1 year,2 years,3 years,3 years,
"Under SECURE Act 2.0, annuity payments may increase annually by a rate less than ___%.",3%,5%,7%,9%,5%,
"Helen was required to take a $20,000 RMD but only took $10,000. What penalty applies?","$1,000 ","$2,500 ","$5,000 ",No penalty applies after 2023,"$2,500 ",
